Question #,Play Call,X,H,Y,Z,RB
83,"Deuce Left, MAX, Yankees",Dig,Post,Block,Post,Play Action 
84,"Deuce Left, H, Houston",Block,Block,Block,Hitch,Swing
85,"Trey Right, MAX, H, Washington",Slant,Wheel,Block,Snag,Block
86,"Deuce Left, MAX, Pittsburgh",Fade,Slant,Block,Glande,Block
87,"Trey Left, MAX, H, Tennessee",Hitch to Whip,Seam,Block,Hitch,Block
88,"Deuce Right, St Louis",Fade,Drag,Cross,Grass Post,Play Action 
89,"Deuce Left, H, Houston",Block,Block,Block,Hitch,Swing
90,"Trips Right, H, Miami",Fade,Seam,Seam,Fade,Check Swing
91,"Deuce Left, MAX, Yankees",Dig,Post,Block,Post,Block
92,"Spread, Washington",Slant,Wheel,Seam,Snag,Rail
93,"Spread, Tennessee",Hitch to Whip,Corner,Seam,Hitch,Hitch
94,"Spread, Y Trap, Colorado",Screen,Block,Trap Block,Block,Play Action 
95,"Spread, Vikings",Deep out,Hitch to Whip,Dig,Deep out,Hitch
96,"Trey Left, Orioles",Fade,Deep out,Shoot,Dig,Play Action 
97,"Trips Right, Steelers",Glance,Shoot,Hitch,Fade,Shoot
98,"Spread, Titans",Hitch,Seam,Corner,Hitch to Whip,Hitch
99,"Trips Right, Y Detroit ",Block,Bubble,Jet sweep,Block,Block
100,"Trips Left, Indiana",Block,Block,Block,Hitch/Fade,Inside zone
101,"Trips Right, Detroit ",Block,Bubble,Block,Block,Outside zone
102,"Trips Right, Pacers",Hitch/Fade,Block,Block,Block,Inside zone
103,"Trips Left, Brooklyn",Block,Block,Block,Hitch/Fade,C gap run
104,"Deuce Left, Y, Chicago",Block,Bubble,Block,Block,Counter
105,"Spread, St Louis",Fade,Drag,Cross,Grass Post,Play Action 
106,"Spread, H Trap, Rockies",Block,Trap Block,Block,Screen,Play Action 
107,"Deuce Left, H Jet, Tennessee",Hitch to Whip,Corner,Seam,Hitch,Hitch
108,"Trey Left, Y, Freeze",Freeze,Freeze,Freeze,Freeze,Freeze
109,"Spread, H, Freeze",Freeze,Freeze,Freeze,Freeze,Freeze
110,"Trips Right, H, Freeze",Freeze,Freeze,Freeze,Freeze,Freeze
111,"Trey Right, MAX, Vikings ",Deep out,Dig,Block,Deep out,Block
112,"Spread, H Jet, Baltimore",Dig,Shoot,Deep out,Fade,Play Action 
113,"Deuce Left, MAX, St Louis",Fade,Cross,Block,Grass Post,Block
114,"Spread, MAX, Y Jet, Kansas ",Dig,Seam,Shoot,Flag,Block
115,"Trey Right, Commanders",Snag,Wheel,Seam,Slant,Rail
116,"Trips Left, MAX, H Trap, NY",Post,Trap Block,Post,Cross,Play Action 
117,"Deuce Right, MAX, NY",Post,Post,Block,Cross,Play Action 
118,"Trey Left, MAX, H, Tennessee",Hitch to Whip,Seam,Block,Hitch,Block
119,"Deuce Left, MAX, Chiefs",Flag,Seam,Block,Dig,Block
120,"Trips Right, H, Miami",Fade,Seam,Seam,Fade,Check Swing
121,"Bone, Y, Orlando",Block,Block,Block,Shoot,Outside zone
122,"Bone, Pacers",Shoot,Block,Block,Block,Inside zone
123,"Bone, H, Magic",Shoot,Block,Block,Block,Outside zone
124,"Bone, H, Baltimore",Dig,Shoot,Deep out,Fade,Play Action 
125,"Deuce Right, Magic",Block,Bubble,Block,Block,Outside zone
126,"Deuce Right, Nets",Block,Bubble,Block,Block,C gap run
127,"Deuce Right, Pacers",Block,Bubble,Block,Block,Inside zone
128,"Deuce Right, Chicago",Block,Block,Bubble,Block,Counter
129,"Deuce Left, Yankees",Dig,Post,Block,Post,Play Action 
130,"Deuce Right, St Louis",Fade,Drarg,Cross,Grass Post,Play Action 
131,"Trey Right, Y, Orlando",Block,Bubble,Block,Block,Outside zone
132,"Trey Right, Pacers",Hitch/Fade,Block,Block,Block,Inside zone
133,"Trey  Right, Baltimore",Dig,Deep out,Shoot,Fade,Play Action 
134,"Trey Right, Y, Pittsburgh",Fade,Slant,Hitch,Glance,Shoot
135,"Trey Left, Colorado ",Block,Screen,Block,Block,Play Action 
136,"Spread, Orlando",Block,Block,Bubble,Block,Outside zone
137,"Deuce Right, Magic",Block,Bubble,Block,Block,Outside zone
138,"Trey Right, Y, Orlando",Block,Bubble,Block,Block,Outside zone
139,"Deuce Right, Nets, Smoke",Screen,Block,Block,Screen,C gap run
140,"Deuce Right, Pacers",Block,Bubble,Block,Block,Inside zone
141,"Trey Right, Indiana",Block,Bubble,Block,Block,Inside zone
142,"Spread, Chicago, Smoke",Screen,Block,Block,Screen,Counter
143,"Spread, Bulls",Block,Bubble,Block,Block,Counter
144,"Deuce Right, Y, Orlando",Block,Block,Block,Hitch/Fade,Outside zone
145,"Bone, H, Magic",Shoot,Block,Block,Block,Outside zone
146,"Trey Left, Pacers",Block,Bubble,Block,Block,Inside zone
147,"Spread, Y, Bulls",Block,Bubble,Block,Block,Counter
148,"Spread, Nets, Smoke",Screen,Block,Block,Screen,C gap run
149,"Spread, Indiana",Block,Block,Bubble,Block,Inside zone
150,"Deuce Right, Magic",Block,Bubble,Block,Block,Outside zone
